Prompt,User,Vision,Score,Robot
,get me a apple,found,1,"pick apple, go back, place apple."
,get me a apple,none,0,failed to find apple in the scene. Any guidance?
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,Turn left,none,1,"turn left, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,Turn right,none,1,"turn right, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,It is on the left,none,1,"turn left, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,It is behind you,none,1,"turn around, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: failed to find apple in the scene. Any guidance?,Turn around,none,1,"turn around, search for apple, pick apple, go back, place apple."
,get me a apple,found,0,found the apple but I cannot perform the task. Any guidance?
 <user>: get me a apple <robot>: found the apple but I cannot perform the task. Any guidance?,Get the apple on the table to the left,none,1,"turn left, search for apple, pick apple, go back, place apple."
 <user>: get me a apple <robot>: found the apple but I cannot perform the task. Any guidance?,Get the apple on the table to the right,none,1,"turn right, search for apple, pick apple, go back, place apple."
,get me a banana,found,1,"pick banana, go back, place banana."
,get me a banana,none,0,failed to find banana in the scene. Any guidance?
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,Turn left,none,1,"turn left, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,Turn right,none,1,"turn right, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,It is on the left,none,1,"turn left, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,It is behind you,none,1,"turn around, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: failed to find banana in the scene. Any guidance?,Turn around,none,1,"turn around, search for banana, pick banana, go back, place banana."
,get me a banana,found,0,found the banana but I cannot perform the task. Any guidance?
 <user>: get me a banana <robot>: found the banana but I cannot perform the task. Any guidance?,Get the banana on the table to the left,none,1,"turn left, search for banana, pick banana, go back, place banana."
 <user>: get me a banana <robot>: found the banana but I cannot perform the task. Any guidance?,Get the banana on the table to the right,none,1,"turn right, search for banana, pick banana, go back, place banana."
,get me a orange,found,1,"pick orange, go back, place orange."
,get me a orange,none,0,failed to find orange in the scene. Any guidance?
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,Turn left,none,1,"turn left, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,Turn right,none,1,"turn right, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,It is on the left,none,1,"turn left, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,It is behind you,none,1,"turn around, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: failed to find orange in the scene. Any guidance?,Turn around,none,1,"turn around, search for orange, pick orange, go back, place orange."
,get me a orange,found,0,found the orange but I cannot perform the task. Any guidance?
 <user>: get me a orange <robot>: found the orange but I cannot perform the task. Any guidance?,Get the orange on the table to the left,none,1,"turn left, search for orange, pick orange, go back, place orange."
 <user>: get me a orange <robot>: found the orange but I cannot perform the task. Any guidance?,Get the orange on the table to the right,none,1,"turn right, search for orange, pick orange, go back, place orange."
,get me a lemon,found,1,"pick lemon, go back, place lemon."
,get me a lemon,none,0,failed to find lemon in the scene. Any guidance?
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,Turn left,none,1,"turn left, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,Turn right,none,1,"turn right, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,It is on the left,none,1,"turn left, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,It is behind you,none,1,"turn around, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: failed to find lemon in the scene. Any guidance?,Turn around,none,1,"turn around, search for lemon, pick lemon, go back, place lemon."
,get me a lemon,found,0,found the lemon but I cannot perform the task. Any guidance?
 <user>: get me a lemon <robot>: found the lemon but I cannot perform the task. Any guidance?,Get the lemon on the table to the left,none,1,"turn left, search for lemon, pick lemon, go back, place lemon."
 <user>: get me a lemon <robot>: found the lemon but I cannot perform the task. Any guidance?,Get the lemon on the table to the right,none,1,"turn right, search for lemon, pick lemon, go back, place lemon."
,get me a lime,found,1,"pick lime, go back, place lime."
,get me a lime,none,0,failed to find lime in the scene. Any guidance?
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,Turn left,none,1,"turn left, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,Turn right,none,1,"turn right, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,It is on the left,none,1,"turn left, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,It is behind you,none,1,"turn around, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: failed to find lime in the scene. Any guidance?,Turn around,none,1,"turn around, search for lime, pick lime, go back, place lime."
,get me a lime,found,0,found the lime but I cannot perform the task. Any guidance?
 <user>: get me a lime <robot>: found the lime but I cannot perform the task. Any guidance?,Get the lime on the table to the left,none,1,"turn left, search for lime, pick lime, go back, place lime."
 <user>: get me a lime <robot>: found the lime but I cannot perform the task. Any guidance?,Get the lime on the table to the right,none,1,"turn right, search for lime, pick lime, go back, place lime."
,get me a mug,found,1,"pick mug, go back, place mug."
,get me a mug,none,0,failed to find mug in the scene. Any guidance?
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,Turn left,none,1,"turn left, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,Turn right,none,1,"turn right, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,It is on the left,none,1,"turn left, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,It is behind you,none,1,"turn around, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: failed to find mug in the scene. Any guidance?,Turn around,none,1,"turn around, search for mug, pick mug, go back, place mug."
,get me a mug,found,0,found the mug but I cannot perform the task. Any guidance?
 <user>: get me a mug <robot>: found the mug but I cannot perform the task. Any guidance?,Get the mug on the table to the left,none,1,"turn left, search for mug, pick mug, go back, place mug."
 <user>: get me a mug <robot>: found the mug but I cannot perform the task. Any guidance?,Get the mug on the table to the right,none,1,"turn right, search for mug, pick mug, go back, place mug."
,get me a bottle,found,1,"pick bottle, go back, place bottle."
,get me a bottle,none,0,failed to find bottle in the scene. Any guidance?
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,Turn left,none,1,"turn left, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,Turn right,none,1,"turn right, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,It is on the left,none,1,"turn left, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,It is behind you,none,1,"turn around, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: failed to find bottle in the scene. Any guidance?,Turn around,none,1,"turn around, search for bottle, pick bottle, go back, place bottle."
,get me a bottle,found,0,found the bottle but I cannot perform the task. Any guidance?
 <user>: get me a bottle <robot>: found the bottle but I cannot perform the task. Any guidance?,Get the bottle on the table to the left,none,1,"turn left, search for bottle, pick bottle, go back, place bottle."
 <user>: get me a bottle <robot>: found the bottle but I cannot perform the task. Any guidance?,Get the bottle on the table to the right,none,1,"turn right, search for bottle, pick bottle, go back, place bottle."
,get me a can,found,1,"pick can, go back, place can."
,get me a can,none,0,failed to find can in the scene. Any guidance?
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,Turn left,none,1,"turn left, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,Turn right,none,1,"turn right, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,It is on the left,none,1,"turn left, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,It is on the table to the right,none,1,"turn right, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,It is behind you,none,1,"turn around, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: failed to find can in the scene. Any guidance?,Turn around,none,1,"turn around, search for can, pick can, go back, place can."
,get me a can,found,0,found the can but I cannot perform the task. Any guidance?
 <user>: get me a can <robot>: found the can but I cannot perform the task. Any guidance?,Get the can on the table to the left,none,1,"turn left, search for can, pick can, go back, place can."
 <user>: get me a can <robot>: found the can but I cannot perform the task. Any guidance?,Get the can on the table to the right,none,1,"turn right, search for can, pick can, go back, place can."
,get me a glass,found,1,"pick glass, go back, place glass."
,get me a glass,none,0,failed to find glass in the scene. Any guidance?
 <user>: get me a glass <robot>: failed to find glass in the scene. Any guidance?,Turn left,none,1,"turn left, search for glass, pick glass, go back, place glass."
